predicted_x	predicted_y	predicted_ax	predicted_ay	measured_x	measured_y	actual_x	actual_y	actual_ax	actual_ay
7.60233	-6.40235	2.16229	1.70878	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884
7.72133	-6.30831	2.16229	1.70878	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549
7.84537	-6.27694	2.17554	1.54416	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545
7.96494	-6.19208	2.17554	1.54416	8.03231	-6.28406	8	-6.25	2.72931	1.81954
8.10772	-6.12414	2.23649	1.49969	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952
8.21956	-6.04915	2.23649	1.49969	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976
8.33347	-5.96245	2.24195	1.53047	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976
8.45675	-5.87829	2.24195	1.53047	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326
8.61427	-5.82406	2.33191	1.45188	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321
8.74255	-5.74418	2.33191	1.45188	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775
8.86366	-5.65486	2.31305	1.47669	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773
8.97951	-5.5809	2.31305	1.47669	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656
9.07636	-5.48426	2.26311	1.53629	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655
9.20084	-5.39977	2.26311	1.53629	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094
9.33265	-5.32003	2.2824	1.5238	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909
9.45819	-5.23622	2.2824	1.5238	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815
9.57028	-5.14344	2.24712	1.54733	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813
9.69373	-5.05844	2.24712	1.54733	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036
9.79141	-4.95493	2.17951	1.59593	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037
9.91144	-4.86703	2.17951	1.59593	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577
9.99835	-4.76345	2.09258	1.6371	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575
10.1133	-4.67352	2.09258	1.6371	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306
10.1905	-4.52511	1.99354	1.79055	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306
10.3002	-4.4266	1.99354	1.79055	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652
10.3898	-4.25529	1.94079	1.9816	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265
10.4965	-4.14628	1.94079	1.9816	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792
10.576	-3.99664	1.86908	2.08824	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179
